Time,Temperature,Humidity,Soil,CSI
2026-02-04 14:14:20,25.5,75.5,0.0,0.33
2026-02-04 14:14:23,25.5,75.6,0.0,0.33
2026-02-04 14:14:26,25.4,75.7,0.0,0.33
2026-02-04 14:14:29,25.5,75.7,0.0,0.33
2026-02-04 14:14:32,25.4,75.8,0.0,0.33
2026-02-04 14:14:35,25.5,75.8,0.0,0.33
2026-02-04 14:14:38,25.5,75.8,0.0,0.33
2026-02-04 14:14:41,25.5,75.8,0.0,0.33
2026-02-04 14:14:44,25.5,75.9,0.0,0.33
2026-02-04 14:14:47,25.5,75.9,0.0,0.33
2026-02-04 14:14:50,25.5,76.0,0.0,0.33
2026-02-04 14:14:53,25.5,76.2,0.0,0.33
2026-02-04 14:14:56,25.5,76.2,1.0,0.33
2026-02-04 14:14:59,25.5,76.3,15.0,0.33
2026-02-04 14:15:02,25.5,76.4,0.0,0.33
2026-02-04 14:15:05,25.5,76.4,0.0,0.33
2026-02-04 14:15:08,25.5,76.5,32.0,0.0
2026-02-04 14:15:11,25.5,76.5,0.0,0.33
2026-02-04 14:15:14,25.5,76.6,0.0,0.33
2026-02-04 14:15:17,25.5,76.8,0.0,0.33
2026-02-04 14:15:20,25.5,76.9,0.0,0.33
2026-02-04 14:15:23,25.5,77.0,0.0,0.33
2026-02-04 14:15:26,25.5,77.0,0.0,0.33
2026-02-04 14:15:29,25.5,77.0,0.0,0.33
2026-02-04 14:15:32,25.4,77.0,0.0,0.33
2026-02-04 14:15:35,25.5,77.0,0.0,0.33
2026-02-04 14:15:38,25.5,77.1,0.0,0.33
2026-02-04 14:15:41,25.5,77.0,0.0,0.33
2026-02-04 14:15:44,25.5,77.1,0.0,0.33
2026-02-04 14:15:47,25.5,77.1,0.0,0.33
2026-02-04 14:15:50,25.5,77.2,0.0,0.33
2026-02-04 14:15:53,25.5,77.2,0.0,0.33
2026-02-04 14:22:50,25.8,81.7,0.0,0.33
2026-02-04 14:22:53,25.8,81.8,0.0,0.33
2026-02-04 14:22:56,25.8,81.9,0.0,0.33
2026-02-04 14:23:00,25.8,81.9,0.0,0.33
2026-02-04 14:23:02,25.8,81.9,0.0,0.33
2026-02-04 14:23:05,25.8,81.9,0.0,0.33
2026-02-04 14:23:08,25.8,81.9,30.0,0.0
2026-02-04 14:23:11,25.8,81.9,0.0,0.33
2026-02-04 14:23:14,25.8,81.9,0.0,0.33
2026-02-04 14:23:17,25.8,82.0,0.0,0.33
2026-02-04 14:23:20,25.8,82.1,0.0,0.33
2026-02-04 14:23:23,25.8,82.2,0.0,0.33
2026-02-04 14:23:26,25.8,82.2,0.0,0.33
2026-02-04 14:23:29,25.8,82.3,0.0,0.33
2026-02-04 14:23:32,25.8,82.3,0.0,0.33
2026-02-04 14:23:35,25.8,82.3,0.0,0.33
2026-02-04 14:23:38,25.9,82.3,0.0,0.33
2026-02-04 14:23:41,25.8,82.3,0.0,0.33
2026-02-04 14:23:44,25.8,82.3,0.0,0.33
2026-02-04 14:23:47,25.9,82.4,0.0,0.33
2026-02-04 14:23:50,25.8,82.4,0.0,0.33
2026-02-04 14:23:53,25.8,82.4,0.0,0.33
2026-02-04 14:23:56,25.8,82.4,0.0,0.33
2026-02-04 14:23:59,25.8,82.3,0.0,0.33
2026-02-04 14:24:02,25.9,82.3,0.0,0.33
2026-02-04 14:24:05,25.8,82.2,0.0,0.33
2026-02-04 14:24:08,25.8,82.3,0.0,0.33
2026-02-04 14:24:11,25.9,82.3,0.0,0.33
2026-02-04 14:24:14,25.8,82.2,0.0,0.33
2026-02-04 14:24:17,25.9,82.3,0.0,0.33
2026-02-04 14:24:20,25.9,82.2,0.0,0.33
2026-02-04 14:24:23,25.9,82.3,0.0,0.33
2026-02-04 14:24:26,25.9,82.2,0.0,0.33
2026-02-04 14:24:29,25.9,82.2,0.0,0.33
2026-02-04 14:24:32,25.9,82.1,0.0,0.33
2026-02-04 14:24:35,25.9,82.0,0.0,0.33
2026-02-04 14:24:38,25.9,81.9,0.0,0.33
2026-02-04 14:24:41,25.9,81.8,0.0,0.33
2026-02-04 14:24:44,25.9,81.8,0.0,0.33
2026-02-04 14:24:47,25.9,81.7,0.0,0.33
2026-02-04 14:24:50,25.9,81.6,0.0,0.33
2026-02-04 14:24:53,25.9,81.6,0.0,0.33
2026-02-04 14:24:56,25.9,81.4,0.0,0.33
2026-02-04 14:24:59,25.9,81.3,0.0,0.33
2026-02-04 14:25:02,25.9,81.3,0.0,0.33
2026-02-04 14:25:05,25.9,81.1,0.0,0.33
2026-02-04 14:25:08,25.9,81.0,0.0,0.33
2026-02-04 14:25:11,25.9,80.9,0.0,0.33
2026-02-04 14:25:14,25.9,80.7,0.0,0.33
2026-02-04 14:25:17,25.9,80.5,0.0,0.33
2026-02-04 14:25:20,25.9,80.3,0.0,0.33
2026-02-04 14:25:23,25.9,80.1,0.0,0.33
2026-02-04 14:25:26,25.9,80.0,0.0,0.33
2026-02-04 14:25:29,25.9,79.9,0.0,0.33
2026-02-04 14:25:32,25.9,79.8,0.0,0.33
2026-02-04 14:39:23.781818,30.4,66.8,0.0,0.33
2026-02-04 14:39:27.046482,30.2,67.1,0.0,0.33
2026-02-04 14:39:29.846810,30.1,67.5,0.0,0.33
2026-02-04 14:39:32.798249,30.0,67.8,0.0,0.33
2026-02-04 14:39:35.991072,29.9,68.1,0.0,0.33
2026-02-04 14:39:38.860932,29.9,68.4,0.0,0.33
2026-02-04 14:39:41.827397,29.8,68.7,0.0,0.33
2026-02-04 14:39:44.899575,29.7,68.9,0.0,0.33
2026-02-04 14:39:47.873646,29.6,69.3,0.0,0.33
2026-02-04 14:39:50.817761,30.4,80.7,0.0,0.33
2026-02-04 14:39:53.810274,32.4,79.9,0.0,0.33
2026-02-04 14:39:56.771762,33.6,76.4,0.0,0.33
2026-02-04 14:39:59.851301,34.3,72.3,0.0,0.33
2026-02-04 14:40:02.913650,34.7,68.9,0.0,0.33
2026-02-04 14:40:05.793906,34.9,67.1,0.0,0.33
2026-02-04 14:40:09.122803,35.9,73.1,0.0,0.67
2026-02-04 14:40:11.935537,38.8,71.2,0.0,0.67
2026-02-04 14:40:14.909721,40.5,64.9,0.0,0.67
2026-02-04 14:40:17.782496,41.4,59.6,0.0,0.67
2026-02-04 14:40:21.046781,42.0,55.7,0.0,0.67
2026-02-04 14:40:23.798867,42.2,52.7,0.0,0.67
2026-02-04 14:40:26.798732,42.3,50.7,0.0,0.67
2026-02-04 14:40:29.815932,42.2,49.3,0.0,0.67
2026-02-04 14:40:32.880501,42.0,48.3,0.0,0.67
2026-02-04 14:40:35.908748,41.7,47.8,0.0,0.67
2026-02-04 14:40:38.884651,41.5,47.5,0.0,0.67
2026-02-04 14:40:41.784189,41.1,47.3,0.0,0.67
2026-02-04 14:40:45.822217,40.8,47.3,0.0,0.67
2026-02-04 14:40:48.288079,40.4,47.4,0.0,0.67
2026-02-04 14:40:50.957222,40.1,49.0,0.0,0.67
2026-02-04 14:40:54.094458,39.5,53.5,0.0,0.67
2026-02-04 14:40:56.886170,38.3,55.8,0.0,0.67
2026-02-04 14:41:00.333557,36.5,59.3,0.0,0.67
2026-02-04 14:41:02.946240,35.7,60.4,0.0,0.67
2026-02-04 14:41:05.900131,34.9,62.6,0.0,0.33
2026-02-04 14:41:08.951120,34.1,64.7,0.0,0.33
2026-02-04 14:41:12.044303,33.8,64.2,0.0,0.33
2026-02-04 14:41:15.023456,33.6,62.7,0.0,0.33
2026-02-04 14:41:17.907474,33.5,61.5,0.0,0.33
2026-02-04 14:41:20.767833,33.3,60.6,0.0,0.33
2026-02-04 14:41:23.786342,33.1,59.8,0.0,0.33
2026-02-04 14:41:27.374558,33.0,59.4,0.0,0.33
2026-02-04 14:41:29.861854,32.8,59.0,0.0,0.33
2026-02-04 14:41:32.944048,32.7,58.8,0.0,0.33
2026-02-04 14:41:35.801283,32.5,58.7,0.0,0.33
2026-02-04 14:41:38.871828,32.4,58.6,0.0,0.33
2026-02-04 14:41:41.847126,32.2,58.6,0.0,0.33
2026-02-04 14:41:45.060019,32.1,58.5,0.0,0.33
2026-02-04 14:41:47.790508,31.9,58.5,0.0,0.33
2026-02-04 14:41:50.855546,31.8,58.6,0.0,0.33
2026-02-04 14:41:53.812525,31.6,58.7,0.0,0.33
2026-02-04 14:41:56.894151,31.5,58.9,0.0,0.33
2026-02-04 14:41:59.879084,31.3,59.1,0.0,0.33
2026-02-04 14:42:02.865290,31.2,59.2,0.0,0.33
2026-02-04 14:42:05.826072,31.0,59.4,0.0,0.33
2026-02-04 14:42:08.874836,30.9,59.5,0.0,0.33
2026-02-04 14:42:11.820756,30.7,59.7,0.0,0.33
2026-02-04 14:42:15.055797,30.6,59.9,0.0,0.33
2026-02-04 14:42:17.823275,30.5,60.0,0.0,0.33
2026-02-04 14:42:20.860068,30.3,60.1,0.0,0.33
2026-02-04 14:42:23.839493,30.2,60.4,0.0,0.33
2026-02-04 14:42:26.790582,30.1,60.7,0.0,0.33
2026-02-04 14:42:29.877309,29.9,60.9,0.0,0.33
2026-02-04 14:42:33.002554,29.8,61.1,0.0,0.33
2026-02-04 14:42:35.849565,29.7,61.3,0.0,0.33
2026-02-04 14:42:39.197123,29.5,61.4,0.0,0.33
2026-02-04 14:42:41.921056,29.4,61.7,0.0,0.33
2026-02-04 14:42:44.877830,29.3,61.8,0.0,0.33
2026-02-04 14:42:47.890202,29.2,62.1,0.0,0.33
2026-02-04 14:42:50.876570,29.1,62.2,0.0,0.33
2026-02-04 14:42:53.832774,29.0,62.5,0.0,0.33
2026-02-04 14:42:56.905082,28.9,62.6,0.0,0.33
2026-02-04 14:42:59.783541,28.8,62.8,0.0,0.33
2026-02-04 14:43:02.840216,28.7,63.1,0.0,0.33
2026-02-04 14:43:05.924863,28.6,63.2,0.0,0.33
2026-02-04 14:43:09.411385,28.5,63.6,0.0,0.33
2026-02-04 14:43:11.886781,28.4,63.8,0.0,0.33
2026-02-04 14:43:14.965122,28.3,63.9,0.0,0.33
2026-02-04 14:43:17.798465,28.2,64.0,0.0,0.33
2026-02-04 14:43:20.869040,28.1,64.2,0.0,0.33
2026-02-04 14:43:23.835583,28.0,64.3,0.0,0.33
2026-02-04 14:43:26.905650,28.0,64.4,0.0,0.33
2026-02-04 14:43:29.870482,27.9,64.5,0.0,0.33
2026-02-04 14:43:33.377594,27.8,64.6,0.0,0.33
2026-02-04 14:43:35.832211,27.7,64.8,0.0,0.33
2026-02-04 14:43:38.989889,27.7,64.9,0.0,0.33
2026-02-04 14:43:41.959225,27.6,65.0,0.0,0.33
2026-02-04 14:43:44.863177,27.5,65.1,0.0,0.33
2026-02-04 14:43:47.814922,27.4,65.3,0.0,0.33
2026-02-04 14:43:50.872552,27.4,65.4,0.0,0.33
2026-02-04 14:43:53.839426,27.3,65.5,0.0,0.33
2026-02-04 14:43:56.796169,27.2,65.6,0.0,0.33
2026-02-04 14:43:59.877992,27.2,65.7,0.0,0.33
2026-02-04 14:44:02.850708,27.1,65.8,0.0,0.33
2026-02-04 14:44:05.785422,27.1,65.9,0.0,0.33
2026-02-04 14:44:08.761750,27.0,66.1,0.0,0.33
2026-02-04 14:44:11.769472,27.0,66.2,0.0,0.33
2026-02-04 14:44:14.939573,26.9,66.4,0.0,0.33
2026-02-04 14:44:17.907629,26.9,66.6,0.0,0.33
2026-02-04 14:44:20.877560,26.8,66.8,0.0,0.33
2026-02-04 14:44:23.919576,26.8,67.1,0.0,0.33
2026-02-04 14:44:26.821881,26.7,67.3,0.0,0.33
2026-02-04 14:44:29.881410,26.7,67.6,0.0,0.33
2026-02-04 14:44:32.788805,26.6,67.8,0.0,0.33
2026-02-04 14:44:35.829727,26.6,68.0,0.0,0.33
2026-02-04 14:44:38.807929,26.6,68.3,0.0,0.33
2026-02-04 14:44:41.902843,26.6,68.5,0.0,0.33
2026-02-04 14:44:44.836564,26.5,68.7,0.0,0.33
2026-02-04 14:44:47.861524,26.5,68.9,0.0,0.33
2026-02-04 14:44:50.924272,26.5,69.1,0.0,0.33
2026-02-04 14:44:53.829852,26.5,69.3,0.0,0.33
2026-02-04 14:44:56.816425,26.4,69.4,0.0,0.33
2026-02-04 14:44:59.828179,26.4,69.5,0.0,0.33
2026-02-04 14:45:02.957852,26.4,69.8,0.0,0.33
2026-02-04 14:45:05.860541,26.4,69.9,0.0,0.33
2026-02-04 14:45:08.919479,26.3,70.2,0.0,0.33
2026-02-04 14:45:11.869014,26.3,70.4,0.0,0.33
2026-02-04 14:45:14.841536,26.3,70.5,0.0,0.33
2026-02-04 14:45:17.932344,26.3,70.8,0.0,0.33
2026-02-04 14:45:20.895469,26.3,71.0,0.0,0.33
2026-02-04 14:45:23.760197,26.3,71.3,0.0,0.33
2026-02-04 14:45:26.797768,26.2,71.4,0.0,0.33
2026-02-04 14:45:30.039667,26.2,71.6,0.0,0.33
2026-02-04 14:45:32.836086,26.2,71.7,0.0,0.33
2026-02-04 14:45:36.031073,26.2,71.9,0.0,0.33
2026-02-04 14:45:38.901209,26.2,72.1,0.0,0.33
2026-02-04 14:45:41.869577,26.2,72.2,0.0,0.33
2026-02-04 14:45:44.890364,26.2,72.4,0.0,0.33
2026-02-04 14:45:47.922116,26.2,72.6,0.0,0.33
2026-02-04 14:45:51.034362,26.1,72.7,0.0,0.33
2026-02-04 14:45:53.853880,26.1,72.8,0.0,0.33
2026-02-04 14:45:56.917067,26.1,73.0,0.0,0.33
2026-02-04 14:45:59.803401,26.1,73.0,0.0,0.33
2026-02-04 14:46:02.862450,26.1,73.2,0.0,0.33
2026-02-04 14:46:05.942471,26.1,73.2,0.0,0.33
2026-02-04 14:46:09.008490,26.1,73.4,0.0,0.33
2026-02-04 14:46:11.875817,26.1,73.5,0.0,0.33
2026-02-04 14:46:15.048427,26.1,73.6,0.0,0.33
2026-02-04 14:46:17.818420,26.1,73.7,0.0,0.33
2026-02-04 14:46:21.009894,26.1,73.9,0.0,0.33
2026-02-04 14:46:23.855561,26.0,73.9,0.0,0.33
2026-02-04 14:46:26.825581,26.0,74.1,0.0,0.33
2026-02-04 14:46:29.999010,26.0,74.1,0.0,0.33
2026-02-04 14:46:33.040237,26.0,74.2,0.0,0.33
2026-02-04 14:46:35.894039,26.0,74.3,0.0,0.33
2026-02-04 14:46:38.909829,26.0,74.4,0.0,0.33
2026-02-04 14:46:41.877531,26.0,74.5,0.0,0.33
2026-02-04 14:46:44.824219,26.0,74.6,0.0,0.33
2026-02-04 14:46:47.869131,26.0,74.7,0.0,0.33
2026-02-04 14:46:50.891433,26.0,74.8,0.0,0.33
2026-02-04 14:46:53.868039,26.0,74.8,0.0,0.33
2026-02-04 14:46:56.833357,26.0,74.9,0.0,0.33
2026-02-04 14:46:59.800231,25.9,75.0,0.0,0.33
2026-02-04 14:47:02.880774,25.9,75.0,0.0,0.33
2026-02-04 14:47:05.843669,25.9,75.1,0.0,0.33
2026-02-04 14:47:08.911028,25.9,75.2,0.0,0.33
2026-02-04 14:47:11.920569,25.9,75.2,0.0,0.33
2026-02-04 14:47:14.952456,25.9,75.3,0.0,0.33
2026-02-04 14:47:17.938715,25.9,75.4,0.0,0.33
2026-02-04 14:47:20.790897,25.9,75.5,0.0,0.33
2026-02-04 14:47:23.877576,25.9,75.6,0.0,0.33
2026-02-04 14:47:26.831495,25.9,75.6,0.0,0.33
2026-02-04 14:47:29.803974,25.9,75.7,0.0,0.33
2026-02-04 14:47:32.836942,25.9,75.8,0.0,0.33
2026-02-04 14:47:35.882410,25.9,75.8,0.0,0.33
2026-02-04 14:47:38.943281,25.9,75.8,0.0,0.33
2026-02-04 14:47:41.988785,25.9,75.9,0.0,0.33
2026-02-04 14:47:44.957584,25.9,76.1,0.0,0.33
2026-02-04 14:47:48.080961,25.9,76.1,0.0,0.33
2026-02-04 14:47:51.009688,25.9,76.2,0.0,0.33
2026-02-04 14:47:55.205406,25.9,76.2,0.0,0.33
2026-02-04 14:47:56.939546,25.9,76.2,0.0,0.33
2026-02-04 14:48:00.164005,25.8,76.3,0.0,0.33
2026-02-04 14:48:02.880486,25.9,76.3,0.0,0.33
2026-02-04 14:48:06.156260,25.8,76.4,0.0,0.33
2026-02-04 14:48:08.993714,25.8,76.5,0.0,0.33
2026-02-04 14:48:11.889299,25.8,76.5,0.0,0.33
2026-02-04 14:48:14.863788,25.8,76.5,0.0,0.33
2026-02-04 14:48:17.829219,25.8,76.6,0.0,0.33
2026-02-04 14:48:20.808720,25.8,76.7,0.0,0.33
2026-02-04 14:48:23.769815,25.9,76.9,0.0,0.33
2026-02-04 14:48:26.839613,25.9,77.4,0.0,0.33
2026-02-04 14:48:29.810992,25.9,77.4,0.0,0.33
2026-02-04 14:48:32.878669,25.9,77.4,0.0,0.33
2026-02-04 14:48:35.852271,25.9,77.5,0.0,0.33
2026-02-04 14:48:38.923583,25.9,77.6,0.0,0.33
2026-02-04 14:48:41.786778,25.9,77.5,0.0,0.33
2026-02-04 14:48:44.945024,25.9,77.4,0.0,0.33
2026-02-04 14:48:47.776207,25.9,77.4,0.0,0.33
2026-02-04 14:48:50.907243,25.9,77.3,0.0,0.33
2026-02-04 14:48:53.872888,25.9,77.3,0.0,0.33
2026-02-04 14:48:56.848560,25.9,77.4,0.0,0.33
2026-02-04 14:48:59.915449,25.9,77.4,0.0,0.33
2026-02-04 14:49:02.983912,25.9,77.3,0.0,0.33
2026-02-04 14:49:05.960657,25.9,77.4,0.0,0.33
2026-02-04 14:49:08.824397,25.9,77.4,0.0,0.33
2026-02-04 14:49:12.104171,25.9,77.4,0.0,0.33
2026-02-04 14:49:14.863523,25.9,77.5,0.0,0.33
2026-02-04 14:49:17.937902,25.9,77.5,0.0,0.33
2026-02-04 14:49:20.765296,25.9,77.5,0.0,0.33
2026-02-04 14:49:23.984667,25.9,77.5,0.0,0.33
2026-02-04 14:49:26.803021,25.9,77.5,0.0,0.33
2026-02-04 14:49:29.918120,25.9,77.6,0.0,0.33
2026-02-04 14:49:32.895369,25.9,77.7,0.0,0.33
2026-02-04 14:49:35.770923,25.9,77.6,0.0,0.33
2026-02-04 14:49:38.900594,25.9,77.7,0.0,0.33
2026-02-04 14:49:41.782248,25.9,77.7,0.0,0.33
2026-02-04 14:49:44.795143,25.9,77.8,0.0,0.33
2026-02-04 14:49:47.846739,25.9,77.8,0.0,0.33
2026-02-04 14:49:50.826885,25.9,77.8,0.0,0.33
2026-02-04 14:49:53.788429,25.9,77.9,0.0,0.33
2026-02-04 14:49:56.819028,25.9,78.0,0.0,0.33
2026-02-04 14:49:59.795155,25.9,78.1,0.0,0.33
2026-02-04 14:50:03.097537,25.9,78.3,0.0,0.33
2026-02-04 14:50:05.835221,25.9,78.8,0.0,0.33
2026-02-04 14:50:09.365489,25.9,78.9,0.0,0.33
2026-02-04 14:50:11.805315,25.9,78.9,0.0,0.33
2026-02-04 14:50:14.976060,25.9,78.9,0.0,0.33
2026-02-04 14:50:17.845257,25.9,78.8,0.0,0.33
